---nodes---
dalgety|8.30398,-5.01055,-1.61724
churchill|-10.496,2.08327,-1.76614
bourke|-13.2793,-2.7972,-3.05898
offerings|8.57779,-7.69385,-1.01053
techno|-6.87202,8.34291,-20.9667
penfold|-7.55051,8.75157,-21.6518
meteor|15.9639,0.0519509,-14.558
moore|-10.7116,-2.3924,-6.05846
peter|-9.44348,-7.71319,-8.6799
singapore|-9.94997,-1.04036,-2.05151
schumann|-16.173,0.99821,11.7522
schubert|-15.7006,1.86659,11.8486
nursing|-9.74915,-3.32123,-2.40237
batavia|-9.91375,-2.37132,-1.94582
charleville|-11.7568,-2.40062,-2.59412
railways|-8.6069,-1.79874,-5.01944
grasses|-2.70828,-0.87362,12.5941
clover|-2.59431,-1.9343,12.1272
red cross|-9.76162,-4.26982,0.999897
finn|-9.22444,-4.62825,3.88571
trees|-12.4076,-7.18789,2.80577
flowers|-11.6224,-6.03948,1.36504
suburbs|-10.8378,-2.21004,-8.06508
archerfield|17.5548,9.80011,-14.4267
somers|16.8519,9.65383,-15.2477
canberra|-12.052,-3.01732,-1.74812
portuguese|9.66835,18.9511,-1.52059
timor|10.0595,18.7897,-2.43703
buses|-9.30038,-1.82934,-7.10178
trucking|7.75394,-8.22329,-0.867315
goldsbrough mort|7.05999,-6.59761,-0.32026
schools|-9.80129,-2.82137,-6.52904
bowen|-11.7799,-2.21433,-4.01511
julius caesar|3.3157,8.70932,-6.05984
caesar|3.41598,9.92674,-5.97429
townsville|-11.2365,-1.89693,-3.45247
maryland|26.009,-1.30006,6.3517
john payne|25.1462,-1.34961,5.76428
cavalier|-14.0669,-11.5534,16.284
coghlan|-14.8073,-11.886,15.2941
disney|2.5306,5.4722,23.7096
fantasia|1.67365,5.37982,24.4962
coventry|12.9196,6.01555,19.1646
birmingham|13.9354,5.92287,18.5714
parody|15.8032,9.64006,-15.1744
warwick|-9.7773,-3.36529,-5.46304
cull|-14.4811,10.0365,-10.2626
william james|9.09619,21.4204,-10.6423
ashburn|9.90724,20.7891,-10.3579
maitland|15.0914,-16.6051,6.13444
maitland.|15.2761,-16.5469,4.81654
james joyce|4.71788,-19.4143,-6.761
ulysses|5.65523,-18.9434,-6.9485
theatre royal|-15.5869,-7.09641,-11.3107
country women's association|9.76887,-2.61171,14.7774
herbs|10.4854,-2.16409,13.8672
marsh|-7.20579,-0.837529,-3.67519
artillery|-8.19187,-1.63349,-3.59338
northern miner|13.0565,14.6653,10.9666
scanlon|12.2818,14.2937,11.6989
lenin|-4.79921,-0.974303,-6.14059
photographers|-11.0005,-8.56823,-4.31349
coutts|-14.4475,-12.8582,14.6378
gandhi|-11.0015,3.59244,-2.85318
calcutta|-11.7313,3.87439,-1.82422
wyatt|-3.45955,22.4204,2.60515
charlotte|-2.87356,21.5448,2.63289
melody|4.68723,4.99984,23.4742
band music|-4.95938,7.55154,16.0791
citadel|-5.92692,7.41683,15.2321
town planning|12.4372,9.08456,2.24966
bertram|12.3901,8.07924,1.88612
tunisia|-8.82034,-0.431304,-3.28237
stewart|-8.88208,-2.67526,-6.49974
bullock|15.3339,-18.2616,2.8664
hogg|15.4118,-17.5513,3.76771
lines|-7.8439,-0.100867,-0.771923
spargo|-15.3229,10.9406,-10.0002
maps|-10.8715,-3.6673,-0.421421
tennant|-14.1439,-0.645009,-1.58583
car racing|15.3763,17.0559,10.6911
atherton|20.4043,3.05005,1.65592
sullivan|-12.6772,-1.73456,-6.4302
hackett|-21.429,-11.0008,-5.99277
macleay|-20.7157,-11.2824,-6.81272
anderson|-8.50294,-4.67727,-7.77346
camooweal|-14.4041,-0.572889,0.145758
cuff|16.9611,-15.704,-0.551212
styles|16.405,-14.8187,-0.635443
bohemia|7.24517,-20.0658,3.02065
moravia|8.23346,-20.2853,2.61036
murie|20.0113,-5.17729,9.26259
conner|19.4509,-6.14851,9.76301
musical instruments|-13.9115,1.22856,-13.3494
barclay|19.0611,-4.42434,9.79914
blair|0.82738,3.44247,7.15907
duggan|0.799083,4.27073,7.91498
writers|-4.27723,-22.2604,5.53734
elgar|16.7927,11.9224,16.5202
conservatorium|16.9623,12.2734,17.4887
haydn|-18.3515,2.21345,11.6974
fyfe|-19.7396,2.7522,11.4379
egypt|-7.58592,-0.743827,-4.89873
boats|-11.0424,-1.88368,-0.000181668
smedley|10.0053,-7.05071,7.16313
mcnab|9.89473,-5.91873,6.62738
rogers|-11.1086,6.25835,-4.27168
concert hall|14.3067,13.3281,-5.83941
hector|14.7964,13.4673,-4.93956
waters|-9.38675,1.79973,-2.09735
wharton|1.44455,-11.0658,22.0357
loxton|1.35402,-11.5273,21.2918
baptist church|0.741604,0.642097,15.8111
immunisation|10.9598,0.544647,3.57111
diphtheria|10.8495,1.21904,4.40201
speedway|0.993802,4.35287,9.12486
west end|-8.42574,4.49787,-1.92651
forbes|-12.4806,2.53854,-4.63806
boonah|-2.26306,17.3115,-5.84802
waitangi|-1.38657,17.045,-6.74354
munro|-10.3991,-4.74761,-7.11541
carmen|14.7332,-9.01367,-0.0104023
barth|13.9353,-9.43533,-0.566633
racing|-9.80089,-6.9736,-3.43916
venus|18.5821,0.371102,-14.5998
child development|-17.8683,11.6383,7.26261
beckett|-18.1283,9.47595,9.00716
citrus|-2.00417,22.3616,-1.1319
orchard|-1.46755,21.5046,-0.876587
clocks|3.83663,-22.8882,7.20815
daylight saving|2.80582,-23.086,6.89922
mann|-8.008,-3.20421,-6.26227
lang|-8.29786,-2.38053,-10.6881
ryan|-11.2052,-4.16574,-4.82352
nicholls|7.60262,9.57823,17.0149
newton|6.75274,9.97592,16.5082
rajah|-21.673,-2.00764,-11.0266
reid|-9.04612,0.183899,-7.68688
philp|-9.58697,-6.75238,16.7889
atkins|-8.63799,-5.82876,16.9364
spencer|-8.2795,-5.01976,16.0232
eyre|1.07979,16.7688,-3.87779
short stories|0.852378,15.7228,-3.42163
conway|-8.74275,-6.15352,-5.57741
puppets|0.375193,25.4784,-1.29474
pantomime|-0.570508,25.9061,-1.02135
pineapple|2.81447e-05,12.2108,-2.28237
cups|1.00439,13.6499,-1.81707
watches|4.97739,-22.7738,7.66819
greyhounds|2.42816,15.2724,-18.5636
howlett|1.94401,14.3278,-18.5459
centaur|-1.16745,-11,-20.5719
queensland coast|-2.31067,-11.0001,-20.7444
william henry|10.3781,11.5734,-16.8952
grosvenor|10.6472,10.4775,-16.7048
india|-9.35564,-2.21249,-2.69257
stafford|-10.2283,0.767818,-3.03478
beethoven|-16.1894,-0.0307158,9.37113
artists|-16.2043,-1.50052,9.80005
dental|-12.6089,5.42196,-7.54787
burma|-11.9101,3.51439,-3.58841
airfields|-6.06327,2.13859,-4.84798
poole|-10.5027,-7.56286,16.7198
buzacott|3.63816,-12.6589,-21.2284
wolseley|3.13539,-12.1909,-20.4462
debussy|-17.0348,2.05458,12.2711
liszt|-16.5452,0.75723,12.8406
reels|15.8765,2.70137,-7.8894
fencing|15.1525,1.96324,-7.68399
brooches|7.04718,-22.4796,8.6921
rings|6.11646,-23.0196,8.23186
submarine|-9.52242,-19.485,6.91652
brahms|-16.5147,1.701,10.9732
cornwall|-12.0136,20.4315,9.57512
cornwall.|-11.4805,19.489,9.99216
chambers|-5.95924,-7.17916,-7.89228
atkin|7.05144,-2.04815,22.416
corbett|8.08047,-2.36284,23.0222
dogs|-13.1458,0.144106,-10.9966
apprentices|-9.24209,-11.3239,19.743
time off|-9.79971,-10.8623,18.8372
ranke|6.32766,-1.09776,9.26803
riggs|6.37347,0.196737,9.27679
duchess|-10.5416,-3.97362,-1.33622
windsor|-10.7645,-4.83419,0.273685
slovakia|13.5063,-10.6674,-17.0682
slovak|14.4189,-10.3971,-16.6264
australian film|-17.2135,15.0745,3.6015
horsemen|-18.3592,15.8867,3.58698
chile|4.14114,-0.175395,26.9756
argentina|3.71546,-0.696848,26.1694
navy|-7.79604,0.0215574,-5.98799
cameron|-5.93287,2.21235,-7.53536
gladstone|-11.9923,-3.02995,-2.87948
alias|8.54657,7.05313,7.11929
james harris|8.3135,7.03945,8.39095
belfast|-23.0377,0.0712759,-8.94815
driscoll|-4.59839,16.5461,8.72179
emily|-4.22685,15.9904,7.84566
bendigo|11.4002,10.8312,14.5413
gold mining|12.0539,10.7495,15.5002
ironbark|11.671,11.1445,16.5949
gwynn|13.0692,10.2074,15.3266
sonata|-17.1408,1.1464,12.1744
palestine|-7.17296,-2.53202,-0.942874
circus|-12.4548,-6.59823,-10.4004
hutton|-13.6737,9.26792,-4.21126
gibb|-13.0788,10.229,-3.95489
picture theatres|-13.8323,0.901245,-12.3645
alice|-13.733,1.18199,-2.57746
wicks|10.1222,-10.876,-19.4466
william king|9.91619,-11.8855,-19.6394
oberon|16.9806,12.4486,-10.4671
dowd|17.8459,11.8591,-10.503
real estate|-11.2258,0.378248,-10.2611
buildings|-7.46628,-1.58091,-5.18036
photographs|-8.93371,-1.16796,-3.88859
sarawak|-22.1051,-2.78737,-10.5
gulliver|4.89782,10.5985,0.887702
dess|2.19e-05,11.4632,-1.33453
sherwood|-1.13153,-3.69067,10.4998
aldridge|-0.280451,-4.61421,9.80069
mills|-10.8778,-0.935307,-6.34469
handel|-17.4705,3.41778,11.0667
choral|-17.9945,4.87994,11.3993
quee|-1.72583,-6.32997,-21.149
mary.|-2.38446,-7.07498,-20.8515
yates|-5.14012,8.67979,-4.92809
bananas|-5.5618,6.12671,-5.03525
dickens fellowship|-4.28813,-20.7198,4.08772
prentice|-9.79979,-12.2394,20.1482
bradshaw|6.55929,-14.908,19.6
packer|6.60557,-13.8735,19.7342
mozart|-17.2092,1.20024,10.822
ballard|-3.98568,-21.4034,-8.56332
hannan|-4.31821,-20.4399,-8.33135
siam|2.55779,-1.44033,19.7118
dredge|2.99205,-2.05996,18.7902
bing crosby|-21.0172,-9.38133,-9.96721
crosby|-20.6503,-9.72336,-10.8776
holmes|-11.0006,-5.43746,-4.79091
ambulance|-9.70074,-3.99517,-3.60139
kitty|-9.87715,-0.823816,23.8861
ginger|-10.0737,0.245723,23.4825
greentree|5.56656,2.5867,13.5229
tyson|5.99995,3.56289,13.9782
mcneill|6.52769,1.49514,9.50453
comet|-14.9456,11.7275,-8.79953
gospel|-0.492133,1.43339,14.9305
doomben|-4.64558,-7.13215,-17.9959
easter|-9.40285,-1.24311,-0.701054
normandy|-6.48885,-0.634066,0.0018482
gaming|14.9493,-19.3811,9.37211
poker|13.8906,-19.8361,9.3441
wharves|-12.1056,-8.22364,-18.484
steve|-12.0483,-9.14119,-18.9587
fenton|-16.0375,-9.28399,7.42093
nelson|-8.16092,2.14762,-7.52199
kildare|3.74795,7.04594,23.1085
antarctica|12.0634,5.70074,-7.97835
cowell|-13.6715,-1.0067,-0.806369
stalin|-5.97063,-1.07683,-4.83608
immigrants|-6.67432,-2.89215,1.22427
sheen|8.77362,-8.64674,-0.412374
tattersall|26.5296,8.4711,4.66072
tattersalls|26.1849,8.34964,5.6989
north star|11.9765,7.11155,-9.14919
ladd|3.64181,12.1062,19.0162
tasmania.|-15.2517,-2.19921,-1.3425
normanton|-13.1118,-2.87504,0.00407095
singh|8.12142,-2.01776,24.4001
country women|8.78263,-2.96489,14.2382
thursday island|-12.8244,-3.0228,-1.72735
parliament|-7.19655,-3.12316,-3.60315
migrants|-5.73701,-3.43377,3.61746
austin|-6.60072,-0.955132,-2.40002
joseph|-5.44526,-4.11262,-6.22253
